"horario.inicial","horario.final","local","onibus","caminhao","veiculos","carros","motos","motorizados","mulheres.ciclistas","calcada","ciclistas","mulheres.pedestres","fora.da.faixa","cachorro","pedestres","sustentaveis"
"14:15","14:30","bobs",1,5,230,224,57,287,"0","0",4,"16","0","0",38,42
"14:15","14:30","burrinhos",3,12,859,844,312,1171,"0","2",5,"23","3","0",57,62
"14:15","14:30","jackson",2,0,151,149,45,196,"0","0",2,"10","0","0",23,25
"14:30","14:45","bobs",0,2,152,150,45,197,"0","0",3,"11","0","0",24,27
"14:30","14:45","burrinhos",4,13,778,761,329,1107,"1","4",15,"23","1","0",62,77
"14:30","14:45","jackson",1,5,135,129,64,199,"0","0",2,"12","0","0",20,22
"14:45","15:00","bobs",0,5,192,187,62,254,"0","0",10,"7","0","2",24,34
"14:45","15:00","burrinhos",4,11,766,751,340,1106,"0","0",11,"26","7","0",68,79
"14:45","15:00","jackson",2,3,144,139,65,209,"0","0",5,"15","0","0",29,34
"15:00","15:15","bobs",0,0,172,172,41,213,"0","0",10,"15","0","0",33,43
"15:00","15:15","burrinhos",4,5,732,723,336,1068,"2","2",11,"28","7","0",64,75
"15:00","15:15","jackson",3,2,136,131,48,184,"1","0",7,"4","0","0",24,31
"15:15","15:30","bobs",0,2,137,135,57,194,"1","0",10,"9","0","0",26,36
"15:15","15:30","burrinhos",9,15,723,699,338,1061,"0","0",14,"41","4","1",78,92
"15:15","15:30","jackson",1,3,164,160,48,212,"1","1",8,"5","0","0",19,27
"15:30","15:45","bobs",0,3,194,191,79,273,"1","0",7,"20","0","0",68,75
"15:30","15:45","burrinhos",5,10,759,744,352,1111,"1","2",15,"22","5","0",56,71
"15:30","15:45","jackson",2,7,130,121,63,193,"1","0",7,"11","0","0",29,36
"15:45","16:00","bobs",0,1,160,159,52,212,"4","0",14,"33","0","0",83,97
"15:45","16:00","burrinhos",7,12,733,714,360,1093,"0","2",9,"40","1","0",78,87
"15:45","16:00","jackson",3,4,152,145,36,188,"0","0",7,"17","0","0",50,57
"16:00","16:15","bobs",0,2,175,173,78,253,"3","0",26,"59","0","0",174,200
"16:00","16:15","burrinhos",6,12,736,718,371,1107,"0","0",11,"40","9","0",85,96
"16:00","16:15","jackson",0,4,172,168,61,233,"2","0",11,"9","0","0",48,59
"16:15","16:30","bobs",1,0,171,170,63,234,"7","0",30,"38","0","0",97,127
"16:15","16:30","burrinhos",5,13,839,821,318,1157,"1","7",22,"37","2","0",98,120
"16:15","16:30","jackson",1,4,165,160,64,229,"5","0",23,"39","0","0",110,133
"16:30","16:45","bobs",0,1,169,168,60,229,"4","0",26,"24","0","0",80,106
"16:30","16:45","burrinhos",5,20,642,617,345,987,"0","1",15,"45","6","0",97,112
"16:30","16:45","jackson",0,4,168,164,62,230,"4","0",33,"53","0","0",121,154
"16:45","17:00","bobs",0,2,207,205,96,303,"3","0",46,"81","0","0",184,230
"16:45","17:00","burrinhos",5,4,695,686,333,1028,"1","3",23,"40","1","0",107,130
"16:45","17:00","jackson",2,8,171,161,82,253,"11","0",49,"63","0","0",133,182
"17:00","17:15","bobs",0,0,191,191,100,291,"7","0",45,"116","0","0",242,287
"17:00","17:15","burrinhos",10,8,767,749,410,1177,"0","3",15,"55","4","0",128,143
"17:00","17:15","jackson",4,5,152,143,51,203,"3","0",33,"53","0","0",186,219
"17:15","17:30","bobs",2,2,185,181,61,246,"9","0",43,"82","0","5",202,245
"17:15","17:30","burrinhos",11,9,941,921,382,1323,"0","4",32,"36","1","0",122,154
"17:15","17:30","jackson",2,2,164,160,66,230,"6","0",32,"83","0","0",224,256
"17:30","17:45","bobs",2,1,212,209,69,281,"9","0",37,"113","0","4",285,322
"17:30","17:45","burrinhos",7,13,886,866,334,1220,"0","1",18,"32","2","0",125,143
"17:30","17:45","jackson",4,3,195,188,72,267,"4","0",35,"73","0","0",207,242
"17:45","18:00","bobs",1,1,192,190,76,268,"4","0",36,"79","0","5",211,247
"17:45","18:00","burrinhos",29,7,828,792,323,1151,"0","2",19,"28","0","0",101,120
"17:45","18:00","jackson",6,10,137,121,64,201,"6","0",26,"75","0","0",241,267
"18:00","18:15","bobs",0,0,215,215,90,305,"0","0",20,"86","0","0",202,222
"18:00","18:15","burrinhos",20,6,564,538,420,984,"0","1",14,"54","6","0",129,143
"18:00","18:15","jackson",7,0,132,125,70,202,"2","0",24,"56","0","0",191,215
"18:15","18:30","bobs",0,0,170,170,76,246,"1","0",19,"79","0","0",224,243
"18:15","18:30","burrinhos",24,9,586,553,301,887,"0","4",12,"47","0","0",105,117
"18:15","18:30","jackson",11,8,166,147,64,230,"7","0",19,"77","0","0",212,231
"18:30","18:45","bobs",2,1,184,181,82,266,"0","0",20,"69","0","0",193,213
"18:30","18:45","burrinhos",10,6,556,540,185,741,"0","6",9,"31","5","0",79,88
"18:30","18:45","jackson",6,3,129,120,61,190,"3","0",20,"60","0","0",199,219
"18:45","19:00","bobs",1,3,165,161,76,241,"0","0",16,"60","0","0",203,219
"18:45","19:00","burrinhos",5,4,448,439,259,707,"0","0",4,"35","3","1",84,88
"18:45","19:00","jackson",1,2,124,121,64,188,"2","0",20,"82","0","0",223,243
